player_name,season,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,field_goal_pct,three_point_pct,free_throw_pct,plus_minus,all_star,prior_all_star_selections
AJ Griffin,2022-23,ATL,19.0,72,19.5,8.9,2.1,1.0,0.6,0.2,0.6,0.465,0.39,0.894,0.9,0,0
Aaron Gordon,2019-20,ORL,24.0,62,32.5,14.4,7.7,3.7,0.8,0.6,1.6,0.437,0.308,0.674,-1.1,0,0
Aaron Gordon,2020-21,DEN,25.0,50,27.7,12.4,5.7,3.2,0.7,0.7,1.9,0.463,0.335,0.651,1.2,0,0
Aaron Gordon,2021-22,DEN,26.0,75,31.7,15.0,5.9,2.5,0.6,0.6,1.8,0.52,0.335,0.743,4.3,0,0
Aaron Gordon,2022-23,DEN,27.0,68,30.2,16.3,6.6,3.0,0.8,0.8,1.4,0.564,0.347,0.608,7.6,0,0
Aaron Gordon,2023-24,DEN,28.0,73,31.5,13.9,6.5,3.5,0.8,0.6,1.4,0.556,0.29,0.658,5.8,0,0
Aaron Holiday,2019-20,IND,23.0,66,24.5,9.5,2.4,3.4,0.8,0.2,1.3,0.414,0.394,0.851,1.7,0,0
Aaron Holiday,2020-21,IND,24.0,66,17.8,7.2,1.3,1.9,0.7,0.2,1.0,0.39,0.368,0.819,0.0,0,0
Aaron Holiday,2021-22,PHX,25.0,63,16.2,6.3,1.9,2.4,0.7,0.1,1.1,0.447,0.379,0.868,-0.6,0,0
Aaron Holiday,2023-24,HOU,27.0,78,16.3,6.6,1.6,1.8,0.5,0.1,0.7,0.446,0.387,0.921,1.1,0,0
Aaron Nesmith,2022-23,IND,23.0,73,24.9,10.1,3.8,1.3,0.8,0.5,1.0,0.427,0.366,0.838,-2.9,0,0
Aaron Nesmith,2023-24,IND,24.0,72,27.7,12.2,3.8,1.5,0.9,0.7,0.9,0.496,0.419,0.781,2.2,0,0
Aaron Wiggins,2021-22,OKC,23.0,50,24.2,8.3,3.6,1.4,0.6,0.2,1.1,0.463,0.304,0.729,-4.7,0,0
Aaron Wiggins,2022-23,OKC,24.0,70,18.5,6.8,3.0,1.1,0.6,0.2,0.8,0.512,0.393,0.831,0.1,0,0
Aaron Wiggins,2023-24,OKC,25.0,78,15.7,6.9,2.4,1.1,0.7,0.2,0.7,0.562,0.492,0.789,1.2,0,0
Abdel Nader,2019-20,OKC,26.0,55,15.8,6.3,1.8,0.7,0.4,0.4,0.8,0.468,0.375,0.773,-1.5,0,0
Al Horford,2019-20,PHI,34.0,67,30.2,11.9,6.8,4.0,0.8,0.9,1.2,0.45,0.35,0.763,1.9,0,0
Al Horford,2021-22,BOS,36.0,69,29.1,10.2,7.7,3.4,0.7,1.3,0.9,0.467,0.336,0.842,5.6,0,0
Al Horford,2022-23,BOS,37.0,63,30.5,9.8,6.2,3.0,0.5,1.0,0.6,0.476,0.446,0.714,4.9,0,0
Al Horford,2023-24,BOS,38.0,65,26.8,8.6,6.4,2.6,0.6,1.0,0.7,0.511,0.419,0.867,6.5,0,0
Alec Burks,2019-20,PHI,28.0,66,26.6,15.0,4.3,2.9,0.9,0.3,1.4,0.418,0.385,0.887,-3.4,0,0
